	official_title	brief_title	drug	phases	nct_id
854	"Drug Use Surveillance of Takecab Tablets ""Supplement to Helicobacter Pylori Eradication"""	"Drug Use Surveillance of Takecab for ""Supplement to Helicobacter Pylori Eradication"""	Vonoprazan | Amoxicillin hydrate | Clarithromycin | Metronidazole		NCT03219723
855	A Randomized Double-Blind, Placebo-Controlled Trial of Recombinant Human Keratinocyte Growth Factor (rHuKGF) in Patients With Hematologic Malignancies Undergoing Total Body Irradiation (TBI) and High-Dose Chemotherapy With Autologous Peripheral Blood	Biological Therapy in Treating Patients Undergoing Radiation Therapy, Chemotherapy, and Peripheral Stem Cell Transplantation for Hematologic Cancer	cyclophosphamide | etoposide | ifosfamide	2	NCT00004061
856	Diffuse Large B Cell And Peripheral T-Cell Non-Hodgkin's Lymphoma In The Frail Elderly. Progressive And Cautious Treatment Strategy In Poor Status Patients. A Phase II Trial With Emphasis On Geriatric Assessment And Quality Of Life	Combination Chemotherapy in Treating Older Patients With Non-Hodgkin's Lymphoma	cyclophosphamide | prednisone | vincristine sulfate	2	NCT00039351
857	AUTOLOGOUS, ALLOGENEIC, OR SYNGENEIC BONE MARROW TRANSPLANTATION IN HODGKIN'S DISEASE, NON-HODGKIN'S LYMPHOMA, AND MULTIPLE MYELOMA	Chemotherapy Plus Bone Marrow Transplantation in Treating Patients With Refractory Non-Hodgkin's Lymphoma, Hodgkin's Disease, or Multiple Myeloma	carmustine | cyclophosphamide | cytarabine | etoposide | leucovorin calcium | methotrexate | perfosfamide | therapeutic hydrocortisone	2	NCT00002552
858	Olaparib Combined With High-Dose Chemotherapy for Refractory Lymphomas	Olaparib Combined With High-Dose Chemotherapy for Refractory Lymphomas	Palifermin | Olaparib | Vorinostat | Dexamethasone | Rituximab | Caphosol | Glutamine | Gemcitabine | Busulfan | Melphalan | Pyridoxine | G-CSF	1 2	NCT03259503
859	A Phase 1 Multi-Center, Dose Escalation and Pharmacokinetic Study of L-NDDP (Aroplatin) in Patients With Advanced Solid Malignancies or B-Cell Lymphoma	Study of L-NDDP (Aroplatin) in Patients With Advanced Solid Malignancies or B-Cell Lymphoma	Aroplatin	1	NCT00316511
860	Clinical Research of Gene Therapy for Refractory B-Cell Non-Hodgkin Lymphoma Using Autologous T Cells Expressing a Chimeric Antigen Receptor Specific to the CD19 Antigen	Gene Therapy for B-Cell Non-Hodgkin Lymphoma Using CD19 CAR Gene Transduced T Lymphocytes	Cyclophosphamide or Bendamustine	1 2	NCT02134262
861	A Feasibility Study of Gallium-68 Citrate PET to Detect Aberrant MYC Protein Expression in Diffuse Large B-Cell Lymphoma	A Feasibility Study of Gallium-68 Citrate PET to Detect Aberrant MYC Protein Expression in Diffuse Large B-Cell Lymphoma	 	1 2	NCT02776891
862	A Phase I Study of Continuous Infusion Immunotoxin IgG-RFB4-SMPT-dgA in Refractory CD22 Positive B-Cell Lymphoma	A Phase I Study of Continuous Infusion Immunotoxin IgG-RFB4-SMPT-dgA in Refractory CD22 Positive B-Cell Lymphoma	IgG-RFB4-SMPT-dgA	1	NCT00001271
863	Phase Ib - II Study of Entospletinib (ENTO) in Newly Diagnosed Diffuse Large B Cell Lymphoma (DLBCL) Patients With aaIPI>=1 Treated by Rituximab, Cyclophosphamide, Hydroxydaunomycin, Oncovin, and Prednisone (R-CHOP)	Study of Entospletinib (ENTO) in Newly Diagnosed DLBCL Patients With aaIPI>=1 Treated by Chemiotherapy	Entospletinib | Rituximab | Cyclophosphamide | Doxorubicin | Vincristine | Prednisone	1 2	NCT03225924
864	Observational Study of B-Cell Non Hodgkin Lymphomas (NHL) in Patients With Hepatitis C Virus	Observational Study of B-Cell Non Hodgkin Lymphomas (NHL) Associated With Hepatitis C Virus (HCV)	 		NCT01545544
865	A Phase I-II Trial of DA-EPOCH-R Plus Ixazomib as Frontline Therapy for Patients With MYC-aberrant Lymphoid Malignancies: The DACIPHOR Regimen	Combination Chemotherapy, Rituximab, and Ixazomib Citrate in Treating Patients With Non-Hodgkin Lymphoma	Cyclophosphamide | Cytarabine | Doxorubicin Hydrochloride | Etoposide | Ixazomib Citrate | Methotrexate | Prednisone | Therapeutic Hydrocortisone | Vincristine Sulfate	1 2	NCT02481310
866	A Phase II Study Evaluating the Feasibility and Clinical Efficacy of Atezolizumab Consolidation Treatment in High Risk Diffuse Large B-cell Lymphoma	The Feasibility and Clinical Efficacy of Atezolizumab Consolidation Treatment in High Risk (IPI > 2) DLBCL	Atezolizumab	2	NCT03463057
867	A Prospective Single Arm Trial of Involved Field Radiotherapy Alone for Stage I-II Low Grade Non-gastric Marginal Zone Lymphoma	Involved Field Radiotherapy for Non-gastric Marginal Zone Lymphoma	 	2	NCT00377195
868	Phase I Study of Irinotecan for Patients With Abnormal Liver or Renal Function or With Prior Pelvic Radiation Therapy	Irinotecan in Treating Patients With Solid Tumors or Lymphoma Who Have Abnormal Liver or Kidney Function or Who Have Received Radiation Therapy to the Pelvis	irinotecan hydrochloride	1	NCT00003368
869	Allogeneic Transplantation of Haematopoietic Stem Cells Following Non-myeloablative Conditioning With Melphalan, Fludarabine, Thiotepa, Rituximab and Ibritumomab Tiuxetan (Zevalin) in Patients With Aggressive Non-Hodgkin's B-cell Lymphoma	Allogenic Stem Cell Transplantation (SCT) With Non-myeloablative Conditioning in Patients With Relapse Non-Hodgkin's Lymphoma (NHL)	Ibritumomab Tiuxetan (Zevalin)	2	NCT00644371
870	Multi-Site Randomized Clinical Trial Comparing Standard Recovery Preparation to Extended Recovery Preparation to Enhance Long Term Function After Marrow or Stem Cell Transplant	Standard Follow-up Compared With Extended Follow-up in Treating Patients Who Have Undergone Stem Cell Transplantation for Cancer	 	2	NCT00049465
871	A Phase 1/2 Study of ALT-803 in Patients With Relapse/Refractory Indolent B Cell Non-Hodgkin Lymphoma in Conjunction With Rituximab	QUILT-3.002: ALT-803 in Patients With Relapse/Refractory iNHL in Conjunction With Rituximab	 	1 2	NCT02384954
872	Music Therapy for Distress During Autologous Stem Cell Transplantation: A Randomized Trial	Music Therapy to Ease Pain and Emotional Distress in Patients With Hematologic Cancer Who Are Undergoing High-Dose Therapy and Stem Cell Transplantation	 	1 2	NCT00014482
873	An Open-Label, Multi-Center, Phase IB Study of RO7082859 and Atezolizumab (Plus a Single Pre-Treatment Dose of Obinutuzumab) in Adult Patients With Relapsed/Refractory B-Cell Non-Hodgkin's Lymphoma	An Open-Label Phase lB Study of RO7082859 and Atezolizumab in Adult Patients With Relapsed/Refractory B-Cell Non-Hodgkin's Lymphoma	RO7082859 | Atezolizumab | Obinutuzumab	1 2	NCT03533283
874	Genetically Engineered T Cells Expressing an Anti-CD19 Chimeric Antigen Receptor for Treatment of Patients With B Cell Malignancies	Anti-CD19 Chimeric Antigen Receptor (CAR)-Transduced T Cell Therapy for Patients With B Cell Malignancies	Fludarabine | Cyclophosphamide	1	NCT02456350
875	A Phase I Trial of Precursor B Cell Acute Lymphoblastic Leukemia (B-ALL) Treated With Autologous T Cells Genetically Targeted to the B Cell Specific Antigen CD19	Precursor B Cell Acute Lymphoblastic Leukemia (B-ALL) Treated With Autologous T Cells Genetically Targeted to the B Cell Specific Antigen CD19	 	1	NCT01044069
876	The Safety and Efficacy of CART-19 Cells in Relapse and Refractory Patients With CD19+ B-cell Lymphoma	The Safety and Efficacy of CART-19 Cells in Relapse and Refractory Patients With CD19+ B-cell Lymphoma	Cyclophosphamide | Fludarabine	1	NCT03101709
877	A Phase Ib/II, Open-Label, Multicenter Study of the Safety, Pharmacokinetics, and Efficacy of Dulanermin Administered Intravenously in Combination With Rituximab to Subjects With Follicular and Other Low-Grade, CD20+, B-Cell Non-Hodgkin's Lymphomas That Have Progressed Following Previous Rituximab Therapy	A Study of Dulanermin in Combination With Rituximab in Subjects With Follicular and Other Low Grade, CD20+, Non-Hodgkin's Lymphomas	Dulanermin | Rituximab	1 2	NCT00400764
878	Phase III Study of Combination Chemotherapy in Children With T Cell and Pre-B Cell Non-Hodgkin's Lymphoma	Combination Chemotherapy in Treating Children With Non-Hodgkin's Lymphoma	asparaginase | cyclophosphamide | cytarabine | daunorubicin hydrochloride | dexamethasone | etoposide | mercaptopurine | methotrexate | methylprednisolone | mitoxantrone hydrochloride | prednisone | vincristine sulfate	3	NCT00003650
879	Pilot Study of Mechanical Stimulation for Prevention of Hematopoietic Cell Transplant Associated Bone Density Loss	Mechanical Stimulation in Preventing Bone Density Loss in Patients Undergoing Donor Stem Cell Transplant	 	3	NCT01558778
880	Combining 90Y-ibritumomab Tiuxetan With High-dose Chemotherapy of BuCyE and Autologous Stem Cell Transplantation in Patients With B-cell Non-Hodgkin's Lymphoma - an Open-labeled Phase II Study	Zevalin Plus BuCyE High-dose Therapy in B-cell Non-Hodgkin's Lymphoma	Zevalin-BuCyE	2	NCT00336843
881	Dose Escalation Study of Clofarabine in Patients With Relapsed or Refractory Low Grade or Intermed.Grade B-Cell/T-Cell Lymphoma	Dose Escalation Study of Clofarabine in Patients With Relapsed or Refractory Low Grade or Intermediate-Grade B-Cell Lymphoma	Clofarabine	1	NCT00338494
882	Evaluation of Allogeneic Marrow Transplants Depleted of T-Cells by CD34+ Selection in Patients Undergoing Transplantation With an Unrelated Matched or 1 Antigen Mismatched Donor or a 1 Antigen Mismatched Related Donor	Bone Marrow Transplantation in Treating Patients With Hematologic Cancer	cyclophosphamide | thiotepa	4	NCT00003398
883	A Phase I-II Study of Pentostatin With Cyclophosphamide for Previously Treated Patients With Intermediate and High-Risk Chronic Lymphocytic Leukemia	Pentostatin, Cyclophosphamide, and Rituximab in Treating Patients With Chronic Lymphocytic Leukemia or Other B-cell Cancers	cyclophosphamide | pentostatin	2	NCT00003658
884	Prospective Data Collection of Elderly Patients (≥ 65 Years) With Diffuse Large B-cell Lymphoma (DLBCL) Receiving at the Time of Diagnosis Multidimensional Geriatric Assessment (VGM)	Prospective Data Collection of Elderly Patients With DLBCL Receiving at the Time of Diagnosis VGM	 		NCT02364050
885	A Phase I Feasibility Trial of Cyclophosphamide, Alvocidib (Flavopiridol) and Rituximab (CAR) in Patients With High Risk B-cell CLL/SLL	Cyclophosphamide, Alvocidib, and Rituximab in Treating Patients With High Risk B-Cell Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma	Alvocidib Hydrochloride | Cyclophosphamide	1	NCT01076556
886	A Phase II Clinical Trial of Oral Suberoylanilide Hydroxamic Acid (SAHA) in Patients With Relapsed Diffuse Large B-Cell Lymphoma (DLBCL)	An Investigational Drug Study With Suberoylanilide Hydroxamic Acid in Relapsed Diffuse Large B-cell Lymphoma (0683-013)	MK0683, vorinostat, Suberoylanilide Hydroxamic Acid (SAHA) / Duration of Treatment 6 Months	2	NCT00097929
887	A Phase I/II Trial of Escalating Dose of Yttrium-90-labeled Anti-CD20 Monoclonal Antibody in Combination With High-Dose Etoposide and Cyclophosphamide Followed by Autologous Stem Cell Transplantation for Patients With Relapsed B-Cell Non-Hodgkin's Lymphoma	Yttrium Y 90 Ibritumomab Tiuxetan, Etoposide, Cyclophosphamide, and an Autologous Stem Cell Transplant in Treating Patients With Non-Hodgkin Lymphoma	cyclophosphamide | etoposide	1 2	NCT00562978
888	A Phase 1b, Open Label, Multiple Dose, Dose Escalation and Expansion Study to Assess Safety, Tolerability and Antitumor Activities of the Combination of BGB-3111 With BGB-A317 in Subjects With B-Cell Lymphoid Malignancies	BGB-3111 in Combination With BGB-A317 in Subjects With B-cell Malignancies	BGB-3111 | BGB-A317	1	NCT02795182
889	Allogeneic Hematopoietic Cell Transplantation for Patients With Hematologic Disorders Who Are Ineligible or Inappropriate for Treatment With a More Intensive Therapeutic Regimen	Reduced-Intensity Busulfan and Fludarabine With or Without Antithymocyte Globulin Followed by Donor Stem Cell Transplant in Treating Patients With Hematologic Cancer or Other Disease	busulfan | fludarabine phosphate | methotrexate | tacrolimus	2	NCT00448201
890	Determining the Cell of Origin and Prognostic Gene Signatures in SWOG Trials of Diffuse Large B-Cell Lymphoma	S9704-S0014-S0313A Studying Genes in Samples From Patients With Limited or Advanced Diffuse Large B-Cell Lymphoma	 		NCT01563861
891	Busulfan, Etoposide, Cytarabine and Melphalan (BuEAM) as a Conditioning for Autologous Stem Cell Transplantation in Patients With Diffuse Large B Cell Lymphoma (DLCBL) Previously Treated With Rituximab Based Regimen	BuEAM Conditioning for Autologous Stem Cell Transplantation (ASCT) to Treat Diffuse Large B Cell Lymphoma (DLCBL)	Busulfan, Etoposide, Cytarabine, Melphalan	2	NCT01063439
892	A Multicenter Open-Label Phase 1b/2 Study of the Bruton's Tyrosine Kinase (BTK) Inhibitor, Ibrutinib, in Combination With Lenalidomide and Rituximab in Subjects With Relapsed or Refractory Diffuse Large B-Cell Lymphoma	Ibrutinib in Combination With Lenalidomide and Rituximab in Participants With Relapsed or Refractory Diffuse Large B-Cell Lymphoma	Ibrutinib | Lenalidomide | Rituximab	1 2	NCT02077166
893	Phase I/II Study of Bendamustine in Combination With Ofatumumab, Carboplatin and Etoposide for Refractory or Relapsed Aggressive B-cell Lymphomas	Bendamustine in Combination With Ofatumumab, Carboplatin and Etoposide for Refractory or Relapsed Aggressive B-Cell Lymphomas	Bendamustine | Ofatumumab | Carboplatin | Etoposide	1 2	NCT01458366
894	Phase I/II Study of 5-azacitidine in Combination With Vorinostat in Patients With Relapsed or Refractory DLBCL	Study of 5-azacitidine in Combination With Vorinostat in Patients With Relapsed or Refractory Diffuse Large b Cell Lymphoma (DLBCL)	azacytidine | vorinostat	1 2	NCT01120834
895	A Multi-center, Phase IB/II, Open Label, Single Arm Study of Inotuzumab Ozogamicin Plus Rituximab (R-CMC544) Alternating With Gemcitabine-oxaliplatin Plus Rituximab(R-GEMOX)in Patients Aged From 18 to 80 Years With CD20 and CD22 Positive Diffuse Large B-cell Lymphoma (DLBCL) in Relapse After/Refractory to 1ST or 2ND Line Treatment, Who Are no Candidates for Autologous Transplant.	Phase Ib/II Study of the Efficacy and Safety of the R-CMC544/R-GEMOX Combination in Diffuse Lage B-cell Lymphoma at First or Second Relapse	Rituximab, CMC544, Gemcitabine and Oxaliplatine	1 2	NCT01562990
896	An Open-Label, Multi-Center Phase 1 Study to Investigate the Safety and Tolerability of REGN1979, an Anti-CD20 x Anti-CD3 Bispecific Monoclonal Antibody, in Patients With CD20+ B-Cell Malignancies Previously Treated With CD20-Directed Antibody Therapy	A Phase 1 Study to Investigate the Safety and Tolerability of REGN1979 in Patients With CD20+ B-Cell Malignancies	REGN1979 multiple dose levels	1	NCT02290951
897	A Randomized Phase II Study of Oral Panobinostat (LBH589) With or Without Rituximab to Treat Relapsed or Refractory Diffuse Large B Cell Lymphoma	A Phase II Study of Oral Panobinostat (LBH589) and Rituximab to Treat Diffuse Large B Cell Lymphoma (DLBCL)	LBH589 | Rituximab	2	NCT01238692
898	A Pilot Study of Non-Hodgkin's Lymphoma: Chemotherapy and Blood Levels of Organochlorines	A Pilot Study of Non-Hodgkin's Lymphoma: Chemotherapy and Blood Levels of Organochlorines	 		NCT00001571
899	An Open-Label, Long Term, Safety, and Tolerability Study of VEGF Trap in Patients With Incurable, Relapsed or Refractory Solid Tumors or Lymphoma	VEGF Trap in Treating Patients With Solid Tumors or Non-Hodgkin's Lymphoma	 	1	NCT00045266
900	Rituximab-Containing Immunochemotherapy for Burkitt's Lymphoma (BL) and High-Grade B-Cell Lymphoma, Unclassifiable, With Features Intermediate Between Diffuse Large B-Cell Lymphoma and BL	Retrospective Analysis of Rituximab-containing Immunochemotherapy for Burkitt's or Burkitt-like Lymphoma in Adults	 		NCT01809600
901	Non-Myeloablative Chemotherapy Followed by Unrelated Allogeneic Stem Cell Transplantation in Patients With Advanced Hematologic Malignancies: A Pilot Study	Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Advanced Hematologic Cancer	cyclophosphamide | cytarabine | fludarabine phosphate	1	NCT00004114
902	A Dose Finding Study of R115777 (NSC 702818) in Patients With Advanced Hematologic Malignancies	Tipifarnib in Treating Patients With Advanced Hematologic Cancer	tipifarnib	1	NCT00005967
903	A Phase 1 Study Of Inotuzumab Ozogamicin (CMC-544) Administered In Combination With Rituximab In Subjects With B-Cell Non-Hodgkin's Lymphoma	Study Evaluating The Safety And Tolerability Of Combination Therapy Inotuzumab Ozogamicin (CMC-544) And Rituximab	Inotuzumab Ozogamicin (CMC-544) | Rituximab (Rituxan)	1	NCT00724971
904	A Phase I/II Study of Combined Enrichment of CD34+ Cells and Depletion of B-Cells From Peripheral Blood Stem Cell Components for Patients With B-Lymphoid Malignancies	Monoclonal Antibody Therapy in Treating Patients With Lymphoma or Leukemia	 	1 2	NCT00003874
905	A Phase II Study of Atezolizumab With Rituximab, Gemcitabine and Oxaliplatin in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma Who Are Not Candidates for High-dose Therapy	Atezolizumab, Rituximab, Gemcitabine and Oxaliplatin in Patients With Relapsed or Refractory DLBCL Not Suitable for High-dose Therapy	Atezolizumab | Rituximab | Gemcitabine 1000 mg | Oxaliplatin 100 MG	2	NCT03422523
906	A Single-arm, Open, Multi-center Phase II Clinical Trial of Mitoxantrone HCL Liposome Injection in Subjects With Relapsed Diffuse Large B-cell Lymphoma and and Peripheral T/NK Lymphomas	Clinical Trial of Mitoxantrone HCL Liposome Injection in Patients With Relapsed DLBCL and PT/NKCLs	Mitoxantrone HCL Liposome Injection	2	NCT02597387
907	An Open-Label Phase II Study of Mocetinostat in Selected Patients With Mutations of Acetyltransferase Genes in Relapsed and Refractory Diffuse Large B-Cell Lymphoma and Follicular Lymphoma	Study of Mocetinostat in Selected Patients With Mutations of Acetyltransferase Genes in Relapsed and Refractory Diffuse Large B-Cell Lymphoma and Follicular Lymphoma	Mocetinostat	1 2	NCT02282358
